0000 HeroSprite
0001 HeroX
0002 HeroY
0003 PreservedA
0004 PreservedX
0005 PreservedY
0006 PreviousHeroSprite
0007 PreviousHeroWidth
0008 PreviousHeroHeight
0009 dfcMinimumY
000a source
000c header
000e bgmask
000e buffer
000e chaddr
000e bgbuff
0010 screen
0012 source2
0012 screen2
0012 oddscn
0014 evnscn
0016 bitmap
0018 SpriteWidth
0019 SpriteHeight
001a FrameXByte
001b KeyRegister
001c HeroIndex
001d HeroAction
001e HeroStopped
001f ptcTemp01
0020 ptcTempX
0021 ptcTempY
0022 taTempX
0022 temp01
0023 taTempY
0023 temp02
0024 tempy
0025 TextIndex
0026 ScreenIndex
0027 OccurrenceFlag
0028 rndRandom
002a rndTemp
002c cmTemp01
002d cmTemp02
002e cmTemp03
002f ContourFloor
0031 ContourCeiling
0033 ContourCollision
0035 HeroAnimDelayFrac
0036 HeroAnimDelayReference
0037 text
0037 TestInverse
0039 SideApproachFlag
003a GameStackPointer
003b iiFrame
003c unpMaskValue
003d unpSource
003f unpSourceBack
0041 unpDestination
0043 unpNBDst
0044 unpOffset
0046 SubGameResult
0047 SubGameStartLocation
0048 temp03
c000 ScreenSpecificCodeBlock
d4b7 ScreenInit
d50a ScreenRun
d505 CollisionDetection
d50b ProcAction
d4c6 Spare
c018 ScreenProseVector
d3b5 ScreenProse
c01a ScreenNameVector
d4ab ScreenName
c01c ScreenRules
c01d LocationID
c01e RecognisedAction
c01f CollisionType
c020 CollisionTablesVector
c02c ct_CeilingLevel
c022 ScreenInlayVector
c0a4 ScreenInlay
c024 EnteringTextVector
c026 InteractionHeaderVector
c028 CharacterList
c02a CharacterInfo
c054 ct_FloorLevel
c07c ct_BGCollisions
d364 ssc_AddSource
d370 ssc_AddBGMask
d37c ssc_SubScreen
d382 vector1
d38d ssc_AddScreen
d399 ssc_nl_source
d3a7 ssc_nl_screen
9c2c SubGameProperty
d4c3 skip1
d520 DisplayTreeFall
d4c7 InitialiseHero
d4e8 InitHero4Right
d509 CollisionFound
d51c skip1
d51e DisplayTreeFelling
d520 loop1
d58b ssc_TempIndex
d58c TreefallGraphicLo
d58f TreefallGraphicHi
d558 loop2
d55a loop1
d56f skip1
d58a skip1
d57b loop1
d592 TREEFALL1
da54 TREEFALL2
df16 TREEFALL3
e3d8 HeroChoppingFrameAddressLo
e48b HeroChopping3
e452 HeroChopping2
e419 HeroChopping1
e3e0 HeroChopping0
e3dc HeroChoppingFrameAddressHi
9c00 MapID
9c01 ScreenID
9c02 HeroSelectedPocket
9c03 HeroHealth
9c04 HeroToxicLevel
9c05 HeroToxicLimit
9c06 HeroMana
9c07 HeroGrotes
9c0a Controller
9c0b KeywordsLearntIndex
9c0c KeywordsLearnt
9c3c Objects_A
9cbc Objects_B
9d3c Objects_C
9dbc Current_GamePrices
9dbc Price_Fruit
9dbd Price_ButterflyNet
9dbe Price_PotionRed
9dbf Price_ElixirGreen
9dc0 Price_VialBlue
9dc1 Price_FishBok
9dc2 Price_Spare
9dc3 Price_Spare2
9dc4 Price_Butterfly
9dc5 Price_Scroll
9dc6 Price_AquaStone
9dc7 Price_Sapphire
9dc8 Price_IvoryWand
9dc9 Price_EbonyWand
9dca Price_Knife
9dcb Price_FishStew
9dcc Price_Sword
9dcd Price_Tablet
9dce Price_Birdcage
9dcf Price_Parchment
9dd0 Price_OldBriar
9dd1 Price_Flask
9dd2 Price_Grog
9dd3 Price_Glant
9dd4 Price_Lodging
9dd5 Price_BlakLoaf
9dd6 Price_LemBread
9dd7 Price_Funghi
9dd8 Price_Bow
9dd9 Price_Arrows
9dda Price_GreatHorn
9ddb Price_SpellBook
9ddc CharacterBlocks
9ddc Nylot_Tribesman
9de4 Drummond_Publican
9dec Lief_Publican
9df4 Derb_Baker
9dfc Jumbee_Cobbler
9e04 Barton_InnKeeper
9e0c Keesha_Publican
9e14 Kobla_Pirate
9e1c Ribald_Fisherman
9e24 Rangard_Fisherman
9e2c Keggs_Fisherman
9e34 Milo_Carpenter
9e3c Retnig_Serf
9e44 Yltendoq_Priest
9e4c Mardon_Serf
9e54 Lintu_Child
9e5c Temple_Child
9e64 Tallard_Steward
9e6c Kinda_Bakerboy
9e74 Abbot_Clergy
9e7c Prest_Clergy
9e84 Jiro_Child
9e8c OldTom_Farmer
9e94 Merideth_Dealer
9e9c Witch_Witch
9ea4 Spider_Wizard
9eac Erth_Wizard
9eb4 Munk_Clergy
9ebc Rotfilsh_FishMonger
9ec4 Triffith_Ironsmith
9ecc Callum_Grocer
9ed4 Jiles_Farmer
